Haushalte;Minuten
1;0.25
2;0.3
3;0.37
4;0.48
5;0.6
6;0.72
7;0.84
8;0.95
9;1.07
10;1.19
11;1.3
12;1.42
13;1.54
14;1.65
15;1.77
16;1.89
17;2.01
18;2.12
19;2.24
20;2.36
21;2.47
22;2.59
23;2.71
24;2.83
25;2.94
26;3.06
27;3.18
28;3.29
29;3.41
30;3.53
31;3.64
32;3.76
33;3.88
34;4
35;4.11
36;4.23
37;4.35
38;4.46
39;4.58
40;4.7
41;4.82
42;4.93
43;5.05
44;5.17
45;5.28
46;5.4
47;5.52
48;5.63
49;5.75
50;5.87
51;5.99
52;6.1
53;6.22
54;6.34
55;6.45
56;6.57
57;6.69
58;6.8
59;6.92
60;7.04
61;7.16
62;7.27
63;7.39
64;7.51
65;7.62
66;7.74
67;7.86
68;7.98
69;8.09
70;8.21
71;8.33
72;8.44
73;8.56
74;8.68
75;8.79
76;8.91
77;9.03
78;9.15
79;9.26
80;9.38
81;9.5
82;9.61
83;9.73
84;9.85
85;9.97
86;10.08
87;10.2
88;10.32
89;10.43
90;10.55
91;10.67
92;10.78
93;10.9
94;11.02
95;11.14
96;11.25
97;11.37
98;11.49
99;11.6
100;11.72
101;11.84
102;11.96
103;12.07
104;12.19
105;12.31
106;12.42
107;12.54
108;12.66
109;12.77
110;12.89
111;13.01
112;13.13
113;13.24
114;13.36
115;13.48
116;13.59
117;13.71
118;13.83
119;13.95
120;14.06
121;14.18
122;14.3
123;14.41
124;14.53
125;14.65
126;14.76
127;14.88
128;15
129;15.12
130;15.23
131;15.35
132;15.47
133;15.58
134;15.7
135;15.82
136;15.93
137;16.05
138;16.17
139;16.29
140;16.4
141;16.52
142;16.64
143;16.75
144;16.87
145;16.99
146;17.11
147;17.22
148;17.34
149;17.46
150;17.57
151;17.69
152;17.81
153;17.92
154;18.04
155;18.16
156;18.28
157;18.39
158;18.51
159;18.63
160;18.74
161;18.86
162;18.98
163;19.1
164;19.21
165;19.33
166;19.45
167;19.56
168;19.68
169;19.8
170;19.91
171;20.03
172;20.15
173;20.27
174;20.38
175;20.5
176;20.62
177;20.73
178;20.85
179;20.97
180;21.09
181;21.2
182;21.32
183;21.44
184;21.55
185;21.67
186;21.79
187;21.9
188;22.02
189;22.14
190;22.26
191;22.37
192;22.49
193;22.61
194;22.72
195;22.84
196;22.96
197;23.08
198;23.19
199;23.31
200;23.43
201;23.54
202;23.66
203;23.78
204;23.89
205;24.01
206;24.13
207;24.25
208;24.36
209;24.48
210;24.6
211;24.71
212;24.83
213;24.95
214;25.06
215;25.18
216;25.3
217;25.42
218;25.53
219;25.65
220;25.77
221;25.88
222;26
223;26.12
224;26.24
225;26.35
226;26.47
227;26.59
228;26.7
229;26.82
230;26.94
231;27.05
232;27.17
233;27.29
234;27.41
235;27.52
236;27.64
237;27.76
238;27.87
239;27.99
240;28.11
241;28.23
242;28.34
243;28.46
244;28.58
245;28.69
246;28.81
247;28.93
248;29.04
249;29.16
250;29.28
251;29.4
252;29.51
253;29.63
254;29.75
255;29.86
256;29.98
257;30.1
258;30.22
259;30.33
260;30.45
261;30.57
262;30.68
263;30.8
264;30.92
265;31.03
266;31.15
267;31.27
268;31.39
269;31.5
270;31.62
271;31.74
272;31.85
273;31.97
274;32.09
275;32.21
276;32.32
277;32.44
278;32.56
279;32.67
280;32.79
281;32.91
282;33.02
283;33.14
284;33.26
285;33.38
286;33.49
287;33.61
288;33.73
289;33.84
290;33.96
291;34.08
292;34.19
293;34.31
294;34.43
295;34.55
296;34.66
297;34.78
298;34.9
299;35.01
300;35.13
301;35.25
302;35.37
303;35.48
304;35.6
305;35.72
306;35.83
307;35.95
308;36.07
309;36.18
310;36.3
311;36.42
312;36.54
313;36.65
314;36.77
315;36.89
316;37
317;37.12
318;37.24
319;37.36
320;37.47
321;37.59
322;37.71
323;37.82
324;37.94
325;38.06
326;38.17
327;38.29
328;38.41
329;38.53
330;38.64
331;38.76
332;38.88
333;38.99
334;39.11
335;39.23
336;39.35
337;39.46
338;39.58
339;39.7
340;39.81
341;39.93
342;40.05
343;40.16
344;40.28
345;40.4
346;40.52
347;40.63
348;40.75
349;40.87
350;40.98
351;41.1
352;41.22
353;41.34
354;41.45
355;41.57
356;41.69
357;41.8
358;41.92
359;42.04
360;42.15
361;42.27
362;42.39
363;42.51
364;42.62
365;42.74
366;42.86
367;42.97
368;43.09
369;43.21
370;43.32
371;43.44
372;43.56
373;43.68
374;43.79
375;43.91
376;44.03
377;44.14
378;44.26
379;44.38
380;44.5
381;44.61
382;44.73
383;44.85
384;44.96
385;45.08
386;45.2
387;45.31
388;45.43
389;45.55
390;45.67
391;45.78
392;45.9
393;46.02
394;46.13
395;46.25
396;46.37
397;46.49
398;46.6
399;46.72
400;46.84
401;46.95
402;47.07
403;47.19
404;47.3
405;47.42
406;47.54
407;47.66
408;47.77
409;47.89
410;48.01
411;48.12
412;48.24
413;48.36
414;48.48
415;48.59
416;48.71
417;48.83
418;48.94
419;49.06
420;49.18
421;49.29
422;49.41
423;49.53
424;49.65
425;49.76
426;49.88
427;50
428;50.11
429;50.23
430;50.35
431;50.47
432;50.58
433;50.7
434;50.82
435;50.93
436;51.05
437;51.17
438;51.28
439;51.4
